제목,장르,감독,배우,평점
Movie 6991,코미디,Director I,"Actor Q, Actor J, Actor T, Actor R, Actor H",9.0
Movie 2617,스릴러,Director A,"Actor Q, Actor E, Actor K, Actor I, Actor Q",3.8
Movie 6212,드라마,Director B,"Actor K, Actor H, Actor L, Actor K, Actor P",0.5
Movie 2861,코미디,Director W,Actor X,8.6
Movie 3776,애니메이션,Director K,"Actor S, Actor V, Actor D",4.1
Movie 1543,드라마,Director L,Actor D,9.8
Movie 6031,액션,Director R,"Actor Y, Actor P, Actor I, Actor J, Actor C",8.8
Movie 4004,코미디,Director I,"Actor A, Actor Y, Actor G",2.1
Movie 4772,SF,Director E,"Actor M, Actor Z, Actor K, Actor H, Actor O",7.8
Movie 6093,애니메이션,Director R,"Actor W, Actor D, Actor O, Actor X, Actor E",3.3
Movie 3555,SF,Director G,"Actor J, Actor Y",0.4
Movie 1510,SF,Director M,"Actor G, Actor R",0.3
Movie 671,코미디,Director I,"Actor V, Actor D",4.1
Movie 3529,로맨스,Director F,"Actor E, Actor P, Actor M",8.5
Movie 6374,로맨스,Director O,"Actor U, Actor A",5.6
Movie 3861,스릴러,Director C,"Actor K, Actor G, Actor S, Actor M",0.1
Movie 8148,코미디,Director J,"Actor P, Actor E, Actor Z",7.5
Movie 7484,스릴러,Director M,Actor E,1.6
Movie 3481,애니메이션,Director L,"Actor Q, Actor Y, Actor R",2.4
Movie 8397,SF,Director X,"Actor T, Actor Y, Actor G",7.5
Movie 2900,로맨스,Director J,"Actor N, Actor C",7.5
Movie 6785,애니메이션,Director W,Actor C,3.8
Movie 5061,애니메이션,Director Z,Actor U,2.5
Movie 7424,SF,Director H,Actor S,1.4
Movie 4936,SF,Director V,"Actor V, Actor A",0.3
Movie 2148,액션,Director Y,"Actor V, Actor J, Actor H",0.3
Movie 3910,로맨스,Director S,Actor U,0.9
Movie 983,코미디,Director P,"Actor M, Actor A, Actor C, Actor J",5.8
Movie 9298,코미디,Director R,"Actor J, Actor N, Actor O",0.8
Movie 946,스릴러,Director N,"Actor J, Actor O",4.2
Movie 976,SF,Director C,"Actor N, Actor C, Actor B, Actor E",3.5
Movie 3912,코미디,Director R,"Actor J, Actor K, Actor A, Actor Y",3.3
Movie 7710,로맨스,Director B,"Actor S, Actor X, Actor I, Actor E",8.7
Movie 7325,코미디,Director N,"Actor D, Actor P, Actor K",0.2
Movie 6458,로맨스,Director X,"Actor Y, Actor V, Actor J, Actor J, Actor J",5.1
Movie 6108,드라마,Director M,"Actor G, Actor Q, Actor L, Actor T, Actor G",5.0
Movie 7175,스릴러,Director V,"Actor V, Actor H",5.3
Movie 3918,드라마,Director P,"Actor A, Actor A, Actor H, Actor M",1.9
Movie 8906,애니메이션,Director I,"Actor L, Actor Y, Actor K, Actor A",8.9
Movie 3374,코미디,Director G,Actor E,6.4
Movie 5695,코미디,Director S,"Actor F, Actor H, Actor R, Actor R, Actor C",4.3
Movie 1165,코미디,Director A,Actor U,7.0
Movie 3223,스릴러,Director G,"Actor P, Actor S, Actor A",0.5
Movie 5267,액션,Director H,"Actor L, Actor M, Actor Z, Actor I, Actor J",0.6
Movie 3852,로맨스,Director J,"Actor K, Actor E, Actor S",4.3
Movie 331,스릴러,Director H,Actor J,2.2
Movie 6100,스릴러,Director F,"Actor C, Actor W, Actor Z, Actor Q",8.2
Movie 4609,애니메이션,Director D,"Actor N, Actor F, Actor O",7.7
Movie 1459,스릴러,Director X,"Actor B, Actor N, Actor A",6.4
Movie 1331,SF,Director A,Actor A,5.9
Movie 1489,드라마,Director W,"Actor U, Actor Y, Actor Q",7.9
Movie 4930,드라마,Director X,"Actor S, Actor S",9.3
Movie 3925,SF,Director U,"Actor K, Actor Y, Actor M, Actor I",7.4
Movie 3631,드라마,Director X,"Actor P, Actor I, Actor I, Actor O, Actor V",2.4
Movie 8063,액션,Director D,"Actor M, Actor B",4.7
Movie 3951,드라마,Director O,Actor M,1.1
Movie 5858,드라마,Director T,"Actor T, Actor F, Actor O, Actor K, Actor M",1.9
Movie 6860,코미디,Director M,"Actor S, Actor A, Actor R, Actor J",6.3
Movie 5658,스릴러,Director H,"Actor U, Actor F, Actor W, Actor M, Actor R",0.4
Movie 1361,로맨스,Director C,"Actor R, Actor S",6.5
Movie 1362,코미디,Director T,Actor J,8.9
Movie 7064,액션,Director N,"Actor M, Actor T, Actor K, Actor J",7.5
Movie 2915,로맨스,Director K,"Actor L, Actor N, Actor I, Actor Q",4.4
Movie 6800,코미디,Director J,"Actor K, Actor V, Actor F",9.3
Movie 6664,스릴러,Director V,"Actor I, Actor P, Actor Y",4.2
Movie 3746,액션,Director C,"Actor A, Actor O, Actor J",4.0
Movie 8627,SF,Director S,"Actor M, Actor M",4.8
Movie 2570,로맨스,Director W,"Actor X, Actor N",6.9
Movie 3303,드라마,Director K,"Actor N, Actor B",3.1
Movie 2507,드라마,Director J,Actor M,2.8
Movie 9090,스릴러,Director P,"Actor L, Actor N",5.9
Movie 6650,로맨스,Director Y,"Actor R, Actor R",2.1
Movie 2227,코미디,Director Z,"Actor U, Actor P, Actor C, Actor V, Actor A",4.3
Movie 1225,드라마,Director R,"Actor A, Actor A, Actor S, Actor F",1.7
Movie 9958,로맨스,Director A,Actor Q,7.0
Movie 2556,드라마,Director Y,"Actor L, Actor A, Actor T, Actor W, Actor Z",0.8
Movie 3355,애니메이션,Director E,"Actor J, Actor O, Actor P",0.4
Movie 4687,로맨스,Director N,"Actor P, Actor J, Actor B, Actor H",4.4
Movie 4647,SF,Director C,"Actor P, Actor R, Actor K, Actor V",0.9
Movie 4835,코미디,Director Z,"Actor T, Actor K, Actor N, Actor E, Actor H",5.4
Movie 7044,애니메이션,Director I,"Actor B, Actor H, Actor T, Actor I, Actor N",8.9
Movie 5024,SF,Director K,Actor A,0.1
Movie 7736,SF,Director S,"Actor R, Actor D, Actor M",8.8
Movie 2884,로맨스,Director R,"Actor A, Actor J, Actor Z, Actor D, Actor K",4.5
Movie 2146,코미디,Director R,"Actor I, Actor F, Actor Q",3.6
Movie 7449,액션,Director E,"Actor X, Actor G",3.2
Movie 3314,로맨스,Director B,"Actor R, Actor V, Actor Q",3.1
Movie 4491,애니메이션,Director U,"Actor Y, Actor R, Actor T, Actor S",7.8
Movie 2139,드라마,Director Y,"Actor D, Actor F, Actor C",1.5
Movie 3864,로맨스,Director K,"Actor O, Actor Q, Actor S",5.2
Movie 1354,드라마,Director O,Actor G,1.2
Movie 7964,애니메이션,Director H,"Actor D, Actor I",0.2
Movie 4377,액션,Director R,Actor A,9.0
Movie 9563,SF,Director A,"Actor H, Actor I",6.2
Movie 1179,SF,Director O,"Actor L, Actor R",7.0
Movie 2909,코미디,Director M,"Actor H, Actor X",0.1
Movie 7572,액션,Director Q,"Actor S, Actor W, Actor H, Actor U, Actor U",2.4
Movie 6850,로맨스,Director F,"Actor Z, Actor A, Actor L",4.7
Movie 9862,드라마,Director E,"Actor O, Actor M",2.9
Movie 2793,애니메이션,Director W,"Actor B, Actor Q, Actor K",1.2
Movie 9646,로맨스,Director U,Actor F,9.0
Movie 2892,스릴러,Director B,"Actor T, Actor W, Actor V, Actor P, Actor F",5.8
Movie 9991,스릴러,Director M,Actor L,9.8
Movie 5690,드라마,Director A,"Actor K, Actor G, Actor F, Actor J, Actor J",0.1
Movie 1779,SF,Director Z,"Actor W, Actor I, Actor B, Actor T, Actor K",3.3
Movie 2501,애니메이션,Director I,Actor Q,0.7
Movie 3533,SF,Director Q,Actor D,1.3
Movie 4651,애니메이션,Director F,"Actor D, Actor A",2.0
Movie 2928,애니메이션,Director F,"Actor C, Actor I, Actor N",9.5
Movie 3515,드라마,Director M,"Actor S, Actor I, Actor L, Actor I, Actor B",8.8
Movie 2816,드라마,Director C,"Actor J, Actor N, Actor Z, Actor B, Actor H",2.0
Movie 2283,코미디,Director Y,"Actor O, Actor N, Actor V, Actor J, Actor X",1.4
Movie 4154,액션,Director U,Actor T,2.1
Movie 2609,SF,Director R,"Actor W, Actor M, Actor F",2.3
Movie 6877,로맨스,Director C,"Actor Q, Actor A, Actor T, Actor F, Actor I",4.5
Movie 8446,스릴러,Director I,"Actor O, Actor F, Actor O, Actor Q, Actor B",8.0
Movie 7449,애니메이션,Director O,"Actor E, Actor A",4.8
Movie 3775,드라마,Director J,Actor K,6.1
Movie 5720,애니메이션,Director U,"Actor N, Actor G, Actor Z",4.6
Movie 813,코미디,Director B,Actor C,4.4
Movie 7549,액션,Director R,"Actor G, Actor R, Actor G, Actor Y",4.1
Movie 9188,액션,Director W,"Actor C, Actor T, Actor A, Actor O, Actor B",2.6
Movie 1071,스릴러,Director Z,"Actor H, Actor Z",2.2
Movie 2144,액션,Director S,Actor G,9.3
Movie 2515,액션,Director I,"Actor X, Actor E, Actor H, Actor B",0.7
Movie 7539,애니메이션,Director Y,Actor L,3.7
Movie 1743,SF,Director U,"Actor S, Actor S, Actor L, Actor U, Actor P",9.2
Movie 7111,SF,Director K,"Actor Q, Actor A, Actor V, Actor U",2.0
Movie 1040,드라마,Director B,"Actor U, Actor H, Actor S, Actor I, Actor G",6.4
Movie 1595,SF,Director Q,"Actor I, Actor Z, Actor L, Actor D, Actor Z",7.5
Movie 7706,드라마,Director B,"Actor Q, Actor V",5.9
Movie 7662,SF,Director U,Actor U,9.5
Movie 8732,애니메이션,Director V,"Actor K, Actor Z, Actor E, Actor C",5.3
Movie 4620,SF,Director G,"Actor B, Actor G, Actor N, Actor X, Actor O",6.8
Movie 2912,로맨스,Director I,"Actor A, Actor W",7.9
Movie 2170,스릴러,Director Y,"Actor H, Actor E, Actor H, Actor Z, Actor L",7.3
Movie 6631,SF,Director T,"Actor P, Actor P, Actor I",5.7
Movie 5037,드라마,Director G,"Actor Z, Actor B, Actor Q",5.0
Movie 3783,액션,Director X,"Actor Q, Actor I, Actor R",2.9
Movie 3677,애니메이션,Director X,Actor Q,0.8
Movie 5019,코미디,Director Z,"Actor Z, Actor V",8.9
Movie 7792,액션,Director B,Actor C,1.9
Movie 1888,액션,Director C,Actor M,2.3
Movie 6100,코미디,Director G,"Actor C, Actor S, Actor Q, Actor H, Actor H",2.2
Movie 7892,애니메이션,Director H,"Actor K, Actor O, Actor K",9.4
Movie 5529,로맨스,Director O,"Actor Z, Actor U, Actor H, Actor S, Actor B",4.4
Movie 8837,로맨스,Director T,"Actor G, Actor A, Actor Z, Actor U",3.3
Movie 3282,액션,Director A,"Actor E, Actor X, Actor M",5.7
Movie 2088,액션,Director Y,"Actor D, Actor U",0.6
Movie 1218,SF,Director D,"Actor P, Actor I, Actor A",7.8
Movie 2888,스릴러,Director Q,"Actor E, Actor D, Actor I, Actor W, Actor R",6.3
Movie 8391,SF,Director J,"Actor T, Actor D, Actor X, Actor C",0.6
Movie 8828,드라마,Director J,"Actor J, Actor F, Actor D, Actor F",9.5
Movie 5077,액션,Director E,"Actor Z, Actor B, Actor U, Actor S",6.3
Movie 815,스릴러,Director E,"Actor V, Actor F, Actor Q",2.5
Movie 5528,액션,Director K,"Actor G, Actor F",9.4
Movie 8783,스릴러,Director L,"Actor D, Actor G, Actor R, Actor W, Actor F",3.6
Movie 2335,드라마,Director L,Actor N,9.6
Movie 226,스릴러,Director J,"Actor W, Actor A, Actor S, Actor C, Actor W",4.3
Movie 8705,액션,Director Q,"Actor A, Actor U",2.6
Movie 3314,코미디,Director M,"Actor J, Actor N, Actor X, Actor Y, Actor O",8.0
Movie 308,코미디,Director T,"Actor B, Actor R, Actor O",2.5
Movie 3995,액션,Director S,"Actor K, Actor Q",7.9
Movie 175,SF,Director X,"Actor U, Actor W, Actor I, Actor A, Actor E",6.3
Movie 7675,스릴러,Director A,"Actor S, Actor Y, Actor E",6.1
Movie 7367,애니메이션,Director J,"Actor T, Actor Y",0.1
Movie 1044,코미디,Director K,"Actor V, Actor R, Actor T, Actor H, Actor Q",1.8
Movie 7309,드라마,Director F,"Actor Q, Actor E, Actor K",6.7
Movie 9256,코미디,Director J,"Actor H, Actor P",5.5
Movie 3962,로맨스,Director V,"Actor Y, Actor K, Actor L",0.2
Movie 7339,드라마,Director P,"Actor X, Actor Q, Actor G, Actor L",8.5
Movie 511,SF,Director V,Actor A,1.9
Movie 9050,애니메이션,Director R,"Actor D, Actor G",0.2
Movie 4209,로맨스,Director V,"Actor J, Actor L, Actor P, Actor Q",6.9
Movie 1463,코미디,Director R,"Actor R, Actor Y",8.2
Movie 2551,액션,Director Y,"Actor P, Actor M, Actor C, Actor T",7.6
Movie 4915,드라마,Director A,"Actor F, Actor S, Actor H, Actor V, Actor F",1.7
Movie 2180,액션,Director Z,"Actor B, Actor K, Actor R, Actor X",6.6
Movie 2802,액션,Director M,"Actor W, Actor G",1.6
Movie 4289,스릴러,Director A,"Actor A, Actor H, Actor E, Actor P, Actor P",2.2
Movie 5735,드라마,Director A,"Actor X, Actor F",0.5
Movie 5710,SF,Director I,Actor F,0.2
Movie 6256,로맨스,Director T,"Actor G, Actor L, Actor S, Actor G",5.2
Movie 9018,스릴러,Director J,"Actor U, Actor N, Actor V, Actor N",3.8
Movie 4353,액션,Director N,"Actor W, Actor T",4.3
Movie 9356,SF,Director I,"Actor E, Actor C",8.6
Movie 4781,액션,Director B,"Actor O, Actor F",0.0
Movie 9415,스릴러,Director B,"Actor F, Actor T, Actor Q, Actor D, Actor G",5.7
Movie 9077,로맨스,Director B,"Actor E, Actor X, Actor F, Actor P, Actor X",7.8
Movie 9672,스릴러,Director R,"Actor X, Actor D",4.0
Movie 6796,로맨스,Director M,"Actor F, Actor R",5.0
Movie 3381,드라마,Director O,Actor H,4.0
Movie 379,드라마,Director K,"Actor F, Actor S, Actor H, Actor D, Actor D",3.7
Movie 9101,스릴러,Director N,"Actor B, Actor N, Actor E, Actor H, Actor M",2.8
Movie 1324,코미디,Director J,"Actor L, Actor X, Actor L, Actor K",0.2
Movie 571,액션,Director Q,"Actor J, Actor S, Actor C, Actor Y",4.0
Movie 1805,로맨스,Director R,"Actor K, Actor V, Actor H, Actor B",1.5
Movie 9995,드라마,Director Y,"Actor A, Actor T, Actor O",1.5
Movie 7688,코미디,Director I,"Actor L, Actor S, Actor Q, Actor D",6.6
Movie 5121,액션,Director N,"Actor V, Actor Z",9.6
Movie 6846,드라마,Director E,"Actor F, Actor N, Actor Z, Actor L, Actor A",3.2
Movie 1384,스릴러,Director N,"Actor B, Actor Q, Actor L",2.5
Movie 4109,드라마,Director W,"Actor W, Actor S, Actor Q, Actor C",7.8
Movie 7234,드라마,Director J,Actor F,5.9
Movie 42,애니메이션,Director N,"Actor Y, Actor A, Actor S, Actor Y, Actor H",8.0
Movie 7516,애니메이션,Director R,"Actor S, Actor K, Actor X",5.5
Movie 3962,SF,Director O,"Actor B, Actor M",1.2
Movie 7677,코미디,Director N,Actor C,4.5
Movie 312,SF,Director C,"Actor B, Actor P, Actor H",2.7
Movie 347,SF,Director L,"Actor W, Actor M",0.7
Movie 3505,SF,Director H,"Actor Q, Actor V, Actor Y, Actor C, Actor T",6.0
Movie 9221,액션,Director Y,"Actor U, Actor Y",8.5
Movie 134,스릴러,Director B,"Actor Q, Actor Z, Actor V, Actor Z, Actor X",9.8
Movie 4017,드라마,Director D,"Actor R, Actor E, Actor Z, Actor H",0.3
Movie 1603,로맨스,Director C,"Actor T, Actor W, Actor M",3.4
Movie 2813,코미디,Director X,Actor P,5.7
Movie 5836,액션,Director J,"Actor T, Actor Q, Actor H, Actor D",3.0
Movie 8523,애니메이션,Director D,"Actor Q, Actor G",7.7
Movie 7821,스릴러,Director L,"Actor I, Actor Z, Actor U, Actor P",8.3
Movie 4767,드라마,Director F,"Actor P, Actor V, Actor C",9.2
Movie 5609,애니메이션,Director M,"Actor F, Actor G, Actor J, Actor V",0.7
Movie 6190,액션,Director F,"Actor L, Actor P",4.0
Movie 130,스릴러,Director V,"Actor N, Actor W, Actor F, Actor A",6.6
Movie 1933,애니메이션,Director H,"Actor Y, Actor X, Actor X, Actor D, Actor B",5.6
Movie 4047,스릴러,Director P,Actor U,2.0
Movie 6230,코미디,Director Z,"Actor K, Actor R, Actor V",0.6
Movie 3961,로맨스,Director L,"Actor U, Actor J, Actor R, Actor W, Actor Y",2.4
Movie 4997,액션,Director Q,"Actor J, Actor X, Actor G, Actor J, Actor F",8.0
Movie 6272,애니메이션,Director Z,"Actor A, Actor R, Actor P, Actor T, Actor G",2.3
Movie 3756,SF,Director J,"Actor C, Actor S, Actor D",6.8
Movie 5005,스릴러,Director Y,Actor R,7.1
Movie 1029,액션,Director X,"Actor V, Actor O, Actor R, Actor D, Actor J",0.9
Movie 9924,스릴러,Director D,"Actor O, Actor V, Actor Q, Actor R",0.1
Movie 5163,드라마,Director J,"Actor X, Actor O, Actor O",0.4
Movie 8726,액션,Director H,Actor A,8.1
Movie 7901,액션,Director T,"Actor P, Actor J, Actor Z, Actor F",2.7
Movie 3393,스릴러,Director W,"Actor J, Actor Q",5.2
Movie 7932,SF,Director V,"Actor T, Actor S",5.7
Movie 5767,스릴러,Director U,Actor C,3.6
Movie 4005,드라마,Director I,Actor H,0.3
Movie 1954,드라마,Director M,Actor O,6.3
Movie 9913,SF,Director A,"Actor U, Actor T, Actor Z, Actor V, Actor U",9.4
Movie 9630,코미디,Director S,"Actor O, Actor J, Actor K, Actor S, Actor O",9.1
Movie 3445,드라마,Director V,"Actor V, Actor G, Actor T",0.6
Movie 6285,스릴러,Director E,"Actor O, Actor C, Actor N, Actor U, Actor N",6.4
Movie 6772,코미디,Director J,"Actor U, Actor H, Actor V, Actor Z, Actor J",3.1
Movie 8733,애니메이션,Director P,"Actor K, Actor Z, Actor P, Actor G",3.8
Movie 7,드라마,Director C,"Actor N, Actor N, Actor W",6.3
Movie 3631,코미디,Director R,Actor U,5.9
Movie 4984,코미디,Director C,"Actor C, Actor W, Actor N",1.9
Movie 8528,애니메이션,Director P,"Actor O, Actor H, Actor T, Actor J",4.9
Movie 6960,액션,Director C,"Actor N, Actor N, Actor C",0.6
Movie 9870,액션,Director Q,"Actor X, Actor M, Actor F, Actor I",6.0
Movie 3630,코미디,Director Q,"Actor X, Actor X, Actor V",4.0
Movie 7323,드라마,Director C,"Actor D, Actor A, Actor I",1.3
Movie 6727,SF,Director F,"Actor E, Actor X, Actor X",1.3
Movie 412,SF,Director G,"Actor Z, Actor P, Actor C, Actor Y",2.0
Movie 6412,코미디,Director L,"Actor O, Actor J, Actor Z",5.5
Movie 5000,애니메이션,Director E,"Actor Q, Actor J, Actor P, Actor C, Actor N",1.8
Movie 6922,드라마,Director J,Actor R,5.1
Movie 4679,로맨스,Director V,"Actor O, Actor X, Actor M, Actor C, Actor H",6.2
Movie 5479,애니메이션,Director D,"Actor M, Actor B",5.9
Movie 4106,SF,Director H,"Actor H, Actor V, Actor P, Actor K",4.4
Movie 5617,애니메이션,Director X,"Actor O, Actor A, Actor Y, Actor W, Actor F",2.9
Movie 8721,SF,Director V,"Actor Z, Actor B",7.1
Movie 2992,로맨스,Director X,"Actor S, Actor M, Actor U, Actor O",5.8
Movie 1004,로맨스,Director L,"Actor H, Actor K, Actor U, Actor Q",1.9
Movie 3288,코미디,Director N,"Actor S, Actor Q, Actor O",9.1
Movie 2256,스릴러,Director E,Actor Q,7.2
Movie 1228,스릴러,Director D,"Actor O, Actor K, Actor J, Actor G, Actor I",6.2
Movie 7355,드라마,Director E,Actor C,2.5
Movie 5713,스릴러,Director U,"Actor I, Actor G, Actor V, Actor A, Actor K",7.9
Movie 5283,드라마,Director Z,"Actor E, Actor M",5.0
Movie 582,스릴러,Director N,"Actor A, Actor N",6.1
Movie 2173,로맨스,Director G,Actor V,0.4
Movie 3964,SF,Director I,Actor T,6.7
Movie 3534,코미디,Director M,Actor V,4.8
Movie 8129,애니메이션,Director E,"Actor Q, Actor P, Actor V, Actor C, Actor I",2.0
Movie 3695,코미디,Director X,"Actor X, Actor U",8.8
Movie 7344,애니메이션,Director O,"Actor D, Actor H",4.1
Movie 6684,애니메이션,Director J,"Actor T, Actor A, Actor S",8.5
Movie 2693,액션,Director C,"Actor E, Actor C, Actor Q",0.3
Movie 6826,로맨스,Director O,"Actor I, Actor M, Actor E",2.4
Movie 4432,액션,Director L,"Actor X, Actor Y",9.7
Movie 2947,액션,Director T,"Actor A, Actor C, Actor S",0.5
Movie 8134,액션,Director C,"Actor H, Actor R, Actor U, Actor X",5.4
Movie 3413,로맨스,Director B,"Actor T, Actor R, Actor R",4.8
Movie 2781,스릴러,Director F,"Actor F, Actor Q, Actor G, Actor M",1.1
Movie 3898,스릴러,Director G,"Actor Y, Actor Y, Actor H, Actor G",0.4
Movie 7358,스릴러,Director K,"Actor W, Actor M, Actor S, Actor J, Actor Y",0.1
Movie 4903,드라마,Director H,"Actor U, Actor A, Actor W",8.8
Movie 9964,드라마,Director Y,"Actor X, Actor F, Actor A",8.0
Movie 1157,코미디,Director Z,Actor X,7.8
Movie 7167,코미디,Director O,"Actor W, Actor Q, Actor Q, Actor Y, Actor S",0.2
Movie 9330,SF,Director C,"Actor M, Actor U, Actor G, Actor K, Actor P",3.3
Movie 4687,드라마,Director T,"Actor Y, Actor R, Actor F, Actor L",0.1
Movie 508,스릴러,Director N,"Actor F, Actor I, Actor Q",7.3
Movie 5200,스릴러,Director D,"Actor Z, Actor N",5.6
Movie 8721,코미디,Director W,"Actor P, Actor E, Actor G",0.3
Movie 2866,액션,Director R,Actor I,7.0
Movie 256,코미디,Director J,Actor K,1.9
Movie 2251,SF,Director F,"Actor N, Actor M, Actor H",7.7
Movie 9869,로맨스,Director E,Actor I,3.2
Movie 2731,코미디,Director C,Actor K,3.2
Movie 659,액션,Director A,"Actor Y, Actor F, Actor M",9.2
Movie 9864,스릴러,Director K,"Actor D, Actor B, Actor C, Actor M, Actor H",0.2
Movie 448,스릴러,Director V,Actor E,8.3
